CMDLINE 22536
MEM 3.417969 1714303951.5603
MEM 3.417969 1714303951.6608
MEM 3.417969 1714303951.7611
MEM 3.417969 1714303951.8616
MEM 3.417969 1714303951.9618
MEM 3.417969 1714303952.0622
MEM 3.417969 1714303952.1628
MEM 3.417969 1714303952.2633
MEM 3.417969 1714303952.3636
MEM 3.417969 1714303952.4640
MEM 3.417969 1714303952.5652
MEM 3.417969 1714303952.6656
MEM 3.417969 1714303952.7660
MEM 3.417969 1714303952.8666
MEM 3.417969 1714303952.9668
MEM 3.417969 1714303953.0673
MEM 3.417969 1714303953.1680
MEM 3.417969 1714303953.2683
MEM 3.417969 1714303953.3688
MEM 3.417969 1714303953.4690
MEM 3.417969 1714303953.5696
MEM 3.417969 1714303953.6702
MEM 3.417969 1714303953.7705
MEM 3.417969 1714303953.8710
MEM 3.417969 1714303953.9716
MEM 3.417969 1714303954.0724
MEM 3.417969 1714303954.1730
MEM 3.417969 1714303954.2732
MEM 3.417969 1714303954.3736
MEM 3.417969 1714303954.4746
MEM 3.417969 1714303954.5749
MEM 3.417969 1714303954.6755
MEM 3.417969 1714303954.7758
MEM 3.417969 1714303954.8760
MEM 3.417969 1714303954.9764
MEM 3.417969 1714303955.0768
MEM 3.417969 1714303955.1772
MEM 3.417969 1714303955.2779
MEM 3.417969 1714303955.3783
MEM 3.417969 1714303955.4784
MEM 3.417969 1714303955.5789
MEM 3.417969 1714303955.6791
MEM 3.417969 1714303955.7794
MEM 3.417969 1714303955.8795
MEM 3.417969 1714303955.9800
MEM 3.417969 1714303956.0802
MEM 3.417969 1714303956.1808
MEM 3.417969 1714303956.2812
MEM 3.417969 1714303956.3818
MEM 3.417969 1714303956.4824
MEM 3.417969 1714303956.5827
MEM 3.417969 1714303956.6832
MEM 3.417969 1714303956.7837
MEM 3.417969 1714303956.8843
MEM 3.417969 1714303956.9845
MEM 3.417969 1714303957.0852
MEM 3.417969 1714303957.1858
MEM 3.417969 1714303957.2859
MEM 3.417969 1714303957.3862
MEM 3.417969 1714303957.4867
MEM 3.417969 1714303957.5873
MEM 3.417969 1714303957.6877
MEM 3.417969 1714303957.7881
MEM 3.417969 1714303957.8883
MEM 3.417969 1714303957.9888
MEM 3.417969 1714303958.0895
MEM 3.417969 1714303958.1900
MEM 3.417969 1714303958.2908
MEM 3.417969 1714303958.3914
MEM 3.417969 1714303958.4920
MEM 3.417969 1714303958.5925
MEM 3.417969 1714303958.6928
MEM 3.417969 1714303958.7933
MEM 3.417969 1714303958.8937
MEM 3.417969 1714303958.9942
MEM 3.417969 1714303959.0950
MEM 3.417969 1714303959.1952
MEM 3.417969 1714303959.2958
MEM 3.417969 1714303959.3966
MEM 3.417969 1714303959.4971
MEM 3.417969 1714303959.5975
MEM 3.417969 1714303959.6980
MEM 3.417969 1714303959.7981
MEM 3.417969 1714303959.8987
MEM 3.417969 1714303959.9992
MEM 3.417969 1714303960.0995
MEM 3.417969 1714303960.1998
MEM 3.417969 1714303960.3004
MEM 3.417969 1714303960.4007
MEM 3.417969 1714303960.5009
MEM 3.417969 1714303960.6015
MEM 3.417969 1714303960.7017
MEM 3.417969 1714303960.8023
MEM 3.417969 1714303960.9026
MEM 3.417969 1714303961.0034
MEM 3.417969 1714303961.1037
MEM 3.417969 1714303961.2045
MEM 3.417969 1714303961.3050
MEM 3.417969 1714303961.4052
MEM 3.417969 1714303961.5058
MEM 3.417969 1714303961.6063
MEM 3.417969 1714303961.7069
MEM 3.417969 1714303961.8073
MEM 3.417969 1714303961.9075
MEM 3.417969 1714303962.0079
MEM 3.417969 1714303962.1084
MEM 3.417969 1714303962.2091
MEM 3.417969 1714303962.3097
MEM 3.417969 1714303962.4102
MEM 3.417969 1714303962.5111
MEM 3.417969 1714303962.6116
MEM 3.417969 1714303962.7123
MEM 3.417969 1714303962.8128
MEM 3.417969 1714303962.9130
MEM 3.417969 1714303963.0134
MEM 3.417969 1714303963.1140
